Set ID	Set N	Kuiper p-value (vs. background)	Kuiper q-value (vs. background)	Kuiper p-value (vs. uniform)	Kuiper q-value (vs. uniform)	Vector-average magnitude	Vector-average value
GOBP_DENDRITE_ARBORIZATION	0	NA	NA	NA	NA	NA	NA
GOBP_NEGATIVE_REGULATION_OF_CELLULAR_RESPONSE_TO_TRANSFORMING_GROWTH_FACTOR_BETA_STIMULUS	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_VESICLE_TRANSPORT_ALONG_MICROTUBULE	0	NA	NA	NA	NA	NA	NA
GOBP_ENDOTHELIAL_CELL_FATE_COMMITMENT	0	NA	NA	NA	NA	NA	NA
GOBP_GABAERGIC_NEURON_DIFFERENTIATION	0	NA	NA	NA	NA	NA	NA
GOBP_NEUTROPHIL_MEDIATED_KILLING_OF_GRAM_NEGATIVE_BACTERIUM	0	NA	NA	NA	NA	NA	NA
GOBP_HAIR_CYCLE_PHASE	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_LIPOPROTEIN_PARTICLE_CLEARANCE	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_SYNAPTIC_VESICLE_CLUSTERING	0	NA	NA	NA	NA	NA	NA
GOBP_C_5_METHYLATION_OF_CYTOSINE	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_SECONDARY_HEART_FIELD_CARDIOBLAST_PROLIFERATION	0	NA	NA	NA	NA	NA	NA
GOBP_MODULATION_BY_HOST_OF_SYMBIONT_CATALYTIC_ACTIVITY	0	NA	NA	NA	NA	NA	NA
GOBP_PROTEIN_DEPALMITOYLATION	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_TRANSLATIONAL_INITIATION_IN_RESPONSE_TO_STRESS	0	NA	NA	NA	NA	NA	NA
GOBP_PROTEIN_INSERTION_INTO_ER_MEMBRANE_BY_STOP_TRANSFER_MEMBRANE_ANCHOR_SEQUENCE	0	NA	NA	NA	NA	NA	NA
GOBP_AUTOPHAGIC_CELL_DEATH	0	NA	NA	NA	NA	NA	NA
GOBP_CELLULAR_RESPONSE_TO_PH	0	NA	NA	NA	NA	NA	NA
GOBP_MITOCHONDRIAL_RESPIRASOME_ASSEMBLY	0	NA	NA	NA	NA	NA	NA
GOBP_L_ARGININE_IMPORT_ACROSS_PLASMA_MEMBRANE	0	NA	NA	NA	NA	NA	NA
GOBP_MESENCHYMAL_TO_EPITHELIAL_TRANSITION	0	NA	NA	NA	NA	NA	NA
GOBP_N_TERMINAL_PEPTIDYL_METHIONINE_ACETYLATION	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_TRANSLATION_INITIATION_IN_RESPONSE_TO_ENDOPLASMIC_RETICULUM_STRESS	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_CYTOSOLIC_CALCIUM_ION_CONCENTRATION_INVOLVED_IN_PHOSPHOLIPASE_C_ACTIVATING_G_PROTEIN_COUPLED_SIGNALING_PATHWAY	0	NA	NA	NA	NA	NA	NA
GOBP_EXOCRINE_PANCREAS_DEVELOPMENT	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_RHODOPSIN_MEDIATED_SIGNALING_PATHWAY	0	NA	NA	NA	NA	NA	NA
GOBP_SOMATIC_DIVERSIFICATION_OF_IMMUNE_RECEPTORS_VIA_SOMATIC_MUTATION	0	NA	NA	NA	NA	NA	NA
GOBP_AGGRESSIVE_BEHAVIOR	0	NA	NA	NA	NA	NA	NA
GOBP_L_ASPARTATE_TRANSMEMBRANE_TRANSPORT	0	NA	NA	NA	NA	NA	NA
GOBP_ECTODERMAL_PLACODE_DEVELOPMENT	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_CARDIAC_CONDUCTION	0	NA	NA	NA	NA	NA	NA
GOBP_HYPOTHALAMUS_CELL_DIFFERENTIATION	0	NA	NA	NA	NA	NA	NA
GOBP_NEGATIVE_REGULATION_OF_PROTEIN_EXIT_FROM_ENDOPLASMIC_RETICULUM	0	NA	NA	NA	NA	NA	NA
GOBP_RIBOSOMAL_SUBUNIT_EXPORT_FROM_NUCLEUS	0	NA	NA	NA	NA	NA	NA
GOBP_REGULATION_OF_GLOMERULAR_FILTRATION	0	NA	NA	NA	NA	NA	NA
GOBP_MITOCHONDRIAL_RNA_CATABOLIC_PROCESS	0	NA	NA	NA	NA	NA	NA
GOBP_NK_T_CELL_PROLIFERATION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_GASTRULATION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_MEMBRANE_DEPOLARIZATION	0	NA	NA	NA	NA	NA	NA
GOBP_LACTATE_TRANSMEMBRANE_TRANSPORT	0	NA	NA	NA	NA	NA	NA
GOBP_MYELOID_PROGENITOR_CELL_DIFFERENTIATION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_DENDRITIC_CELL_ANTIGEN_PROCESSING_AND_PRESENTATION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_MUSCLE_ADAPTATION	0	NA	NA	NA	NA	NA	NA
GOBP_FLAVONOID_GLUCURONIDATION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_CD8_POSITIVE_ALPHA_BETA_T_CELL_DIFFERENTIATION	0	NA	NA	NA	NA	NA	NA
GOBP_MITOTIC_CHROMOSOME_CONDENSATION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_DEFENSE_RESPONSE_TO_BACTERIUM	0	NA	NA	NA	NA	NA	NA
GOBP_RIBOSOME_DISASSEMBLY	0	NA	NA	NA	NA	NA	NA
GOBP_NEGATIVE_REGULATION_OF_MAST_CELL_ACTIVATION_INVOLVED_IN_IMMUNE_RESPONSE	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	0	NA	NA	NA	NA	NA	NA
GOBP_PROTECTION_FROM_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	0	NA	NA	NA	NA	NA	NA
GOBP_AMINO_ACID_SALVAGE	0	NA	NA	NA	NA	NA	NA
GOBP_PARANODAL_JUNCTION_ASSEMBLY	0	NA	NA	NA	NA	NA	NA
GOBP_PROTEIN_LOCALIZATION_TO_ENDOPLASMIC_RETICULUM_EXIT_SITE	0	NA	NA	NA	NA	NA	NA
GOBP_LOBAR_BRONCHUS_EPITHELIUM_DEVELOPMENT	0	NA	NA	NA	NA	NA	NA
GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE	0	NA	NA	NA	NA	NA	NA
GOBP_APOPTOTIC_PROCESS_IN_BONE_MARROW_CELL	0	NA	NA	NA	NA	NA	NA
GOBP_NUCLEOLAR_CHROMATIN_ORGANIZATION	0	NA	NA	NA	NA	NA	NA
GOBP_MICTURITION	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_INCLUSION_BODY_ASSEMBLY	0	NA	NA	NA	NA	NA	NA
GOBP_GENOMIC_IMPRINTING	0	NA	NA	NA	NA	NA	NA
GOBP_NEGATIVE_REGULATION_OF_MRNA_3_END_PROCESSING	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_MRNA_SPLICING_VIA_SPLICEOSOME	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_CELL_PROLIFERATION_INVOLVED_IN_HEART_MORPHOGENESIS	0	NA	NA	NA	NA	NA	NA
GOBP_POSITIVE_REGULATION_OF_CHROMOSOME_CONDENSATION	0	NA	NA	NA	NA	NA	NA
GOBP_RESPONSE_TO_WATER_DEPRIVATION	0	NA	NA	NA	NA	NA	NA
